,Tourism_asset,Accessbility_Assignments,Accessbility_Value,Tourism_asset_id,type,address,TripAdvisor_link,number_of_reviews,rating,Instagram_count,Tourism_asset_lat,Tourism_asset_lon,Tourism_asset_lat_BC_albers,Tourism_asset_lon_BC_albers,CSD,CSDUID,Total_population_CSD,Workforce_CSD,Employed_CSD,Unemployed_CSD,Occupations_art_culture_CSD,Occupations_natural_resources_CSD,Median_income_2005_CSD,Average_income_2005_CSD,Airport_id,Airport_name,Airport_lat,Airport_lon,Airport_CSD,Distance_meter_airport,Duration_min_airport,Duration_min_num_airport,Visitor_centre_id,vc_name,vc_lat,vc_lon,vc_CSD,Distance_meter_vc,Duration_min_vc,Duration_min_num_vc,City_id,City_name,City_lat,City_lon,City_CSD,City_Pop_2000,City_Pop_Rank,Distance_meter_city,Duration_min_city,Duration_min_num_city,Distance_meter_ambulance,Duration_min_ambulance,Duration_min_num_ambulance,First_responder_id_ambulance,First_responder_lat_ambulance,First_responder_lon_ambulance,First_responder_name_ambulance,First_responder_CSD_ambulance,Distance_meter_fire,Duration_min_fire,Duration_min_num_fire,First_responder_id_fire,First_responder_lat_fire,First_responder_lon_fire,First_responder_name_fire,First_responder_CSD_fire,Distance_meter_police,Duration_min_police,Duration_min_num_police,First_responder_id_police,First_responder_lat_police,First_responder_lon_police,First_responder_name_police,First_responder_CSD_police,events_10km,traveller_resources_10km,classes_workshops_10km,casinos_10km,nightlife_10km,concerts_shows_10km,spas_wellness_10km,shopping_10km,fun_games_10km,transportation_10km,food_drinks_10km,boat_tours_10km,tours_10km,outdoor_activities_10km,hotels_10km
1145,Cathedral Grove,0,4,23,"Forests, Nature & Parks","Port Alberni, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181778-d155850-Reviews-Cathedral_Grove-Port_Alberni_Vancouver_Island_British_Columbia.html,586,4.5,158,49.29079,-124.661575,475859.5544,1097444.278,Nanaimo F,5921032,6675,3875,3545,330,60,100,20242,27740,530,Qualicum Beach Airport,49.337222,-124.39388,Qualicum Beach,24889,22 mins,22,812179,Qualicum Beach Visitor Centre,49.355971,-124.44004,Qualicum Beach,23130,21 mins,21,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,19301,18 mins,18,21988,18 mins,18,1134,49.343724,-124.44963,STN 138 QUALICUM BEACH,Qualicum Beach,14291,11 mins,11,1734,49.307169,-124.48707,COOMBS HILLIERS VOL FIRE HALL 2,Nanaimo F,22178,20 mins,20,1949,49.348002,-124.44405,QUALICUM BEACH COMMUNITY POLICING,Qualicum Beach,0,2,2,0,2,0,15,33,3,1,12,9,16,27,97
1146,Copeland Islands Marine Provincial Park,0,4,475,Nature & Parks,"Powell River, British Columbia V8A 3B6, ",https://www.tripadvisor.ca/Attraction_Review-g184843-d4580567-Reviews-Copeland_Islands_Marine_Provincial_Park-Powell_River_Sunshine_Coast_British_Colum.html,17,4.5,67,49.84486,-124.51983,537642.8996,1106474.911,Powell River,5927008,12685,5895,5480,415,65,175,24444,31332,561,Powell River Airport,49.834166,-124.50027,Powell River,2882,6 mins,6,812206,Powell River Visitor Centre,49.848083,-124.52229,Powell River,405,2 mins,2,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,41395,1 hour 54 mins,114,1253,3 mins,3,1128,49.836153,-124.51865,STN 229 POWELL RIVER,Powell River,948,2 mins,2,1200,49.838018,-124.52151,POWELL RIVER MUN FIRE DEPT HALL 1,Powell River,747,2 mins,2,1831,49.841557,-124.5166,POWELL RIVER RCMP,Powell River,0,1,0,0,1,0,0,5,1,1,2,12,15,20,36
1147,Maquinna Provincial Marine Park,0,4,557,"Nature & Wildlife Areas, Nature & Parks","Tofino, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154942-d281029-Reviews-Maquinna_Provincial_Marine_Park-Tofino_Clayoquot_Sound_Vancouver_Island_British_Co.html,15,4.5,1178,49.152634,-125.90359,459593.3353,1007040.468,Tofino,5923025,1655,1055,1000,55,25,30,22696,30538,483,Tofino/Long Beach Airport,49.082222,-125.7725,Alberni-Clayoquot C,18239,19 mins,19,812183,Tofino Visitor Centre,49.152451,-125.90279,Tofino,61,1 min,0,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,123857,1 hour 47 mins,107,2017,3 mins,3,1194,49.139009,-125.8907,STN 136 TOFINO,Tofino,199,1 min,1,1219,49.152779,-125.90634,TOFINO FIRE DEPT,Tofino,32,1 min,0,1855,49.152766,-125.90399,TOFINO RCMP,Tofino,0,1,1,0,2,0,8,9,1,1,2,47,51,62,73
1148,Camelot Haven,2,5,1718,"Farms, Sights & Landmarks","Vernon, British Columbia V1H 1P9, ",https://www.tripadvisor.ca/Attraction_Review-g154946-d12622937-Reviews-Camelot_Haven-Vernon_Okanagan_Valley_British_Columbia.html,0,0,125,50.30615,-119.27653,610564.0942,1478089.914,North Okanagan B,5937017,3200,1865,1765,95,10,15,24042,29852,602,Vernon Regional Airport,50.246111,-119.33083,Priest's Valley 6,9056,14 mins,14,812259,Vernon Visitor Centre,50.270128,-119.27003,Vernon,5293,7 mins,7,37,Vernon,50.26098554,-119.2726142,Vernon,34678,16,6160,11 mins,11,5288,8 mins,8,1176,50.267639,-119.27157,STN 337 VERNON,Vernon,5386,8 mins,8,1538,50.267169,-119.2702,VERNON FIRE DEPT,Vernon,5382,8 mins,8,1863,50.267088,-119.27115,VERNON RCMP,Vernon,0,3,2,1,9,2,6,20,5,0,12,10,21,30,71
1149,Morice Lake Provincial Park,3,3,880,Nature & Parks,"Houston, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g644374-d7333141-Reviews-Morice_Lake_Provincial_Park-Houston_British_Columbia.html,2,5,21,54.39976,-126.67008,1044434.614,956601.0668,Houston,5951034,3165,1865,1670,195,0,90,28497,35670,709,Smithers Airport,54.825277,-127.18277,Smithers,68844,52 mins,52,812300,Houston Visitor Centre,54.398249,-126.65425,Houston,994,2 mins,2,19,Terrace,54.51567681,-128.610207,Terrace,13871,27,267363,3 hours 1 min,181,1098,4 mins,4,1074,54.396322,-126.65359,STN 767 HOUSTON,Houston,1592,4 mins,4,1361,54.398607,-126.64761,HOUSTON FIRE DEPT,Houston,1547,4 mins,4,1791,54.398617,-126.6483,HOUSTON RCMP,Houston,0,0,0,0,0,0,0,3,0,0,1,0,0,3,3
1150,Pete Murray's Corn Farm,2,5,1720,"Farms, Sights & Landmarks","Chase, British Columbia V0E 1M1, ",https://www.tripadvisor.ca/Attraction_Review-g499123-d12619025-Reviews-Pete_Murray_s_Corn_Farm-Chase_British_Columbia.html,0,0,19,50.803143,-119.70963,662834.114,1442468.051,Thompson-Nicola L,5933060,2980,1860,1775,85,35,55,22526,30375,623,Kamloops Airport,50.7025,-120.44861,Kamloops,68433,54 mins,54,812159,Chase Visitor Centre,50.81672,-119.69314,Chase,2747,6 mins,6,36,Kamloops,50.65605598,-120.3639002,Kamloops,82832,8,59035,41 mins,41,5481,8 mins,8,1036,50.818486,-119.68508,STN 307 CHASE,Chase,3845,9 mins,9,1247,50.829973,-119.70325,ADAMS LAKE FIRE AND SAFETY,Sahhaltkum 4,3364,7 mins,7,1763,50.811732,-119.69708,CHASE RCMP,Thompson-Nicola L,0,1,0,0,0,0,2,2,0,0,6,4,11,22,39
1151,Moore Creek Falls,0,4,968,"Waterfalls, Nature & Parks","Kitimat, Kitimat-Stikine District, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g671271-d10840831-Reviews-Moore_Creek_Falls-Kitimat_Kitimat_Stikine_District_British_Columbia.html,1,5,55,54.002304,-128.70161,1003238.453,823372.6948,Kitimat,5949005,8950,4740,4295,445,40,30,33931,41936,455,Terrace (Northwest Regional) Airport,54.468611,-128.57833,Terrace,65759,46 mins,46,812304,Kitimat Visitor Centre,53.974553,-128.64845,Kitamaat 2,23265,25 mins,25,19,Terrace,54.51567681,-128.610207,Terrace,13871,27,73296,54 mins,54,10947,11 mins,11,1016,54.053785,-128.63439,STN 623 KITIMAT,Kitimat,10919,11 mins,11,1375,54.053876,-128.63482,KITIMAT FIRE DEPT,Kitimat,10228,12 mins,12,1799,54.049841,-128.65126,KITIMAT RCMP,Kitimat,0,1,0,0,0,0,2,0,0,0,0,1,1,2,11
1152,The Ou Gallery,0,4,4113,"Art Galleries, Shopping, Museums","Duncan, British Columbia V9L 3Y3, ",https://www.tripadvisor.ca/Attraction_Review-g154929-d12351171-Reviews-The_Ou_Gallery-Duncan_Vancouver_Island_British_Columbia.html,0,0,739,48.789146,-123.72583,421907.074,1167342.415,North Cowichan,5919008,27315,13650,12880,775,130,210,24795,32628,482,Nanaimo Airport,49.052222,-123.87027,Nanaimo A,37068,33 mins,33,812162,Duncan Visitor Centre,48.777347,-123.69864,Duncan,3039,7 mins,7,68,Duncan,48.77731484,-123.7053172,Duncan,4766,39,2194,5 mins,5,2724,7 mins,7,1052,48.783945,-123.69783,STN 152 DUNCAN,North Cowichan,2127,5 mins,5,1314,48.779825,-123.70669,DUNCAN VOL FIRE DEPT,Duncan,1784,4 mins,4,1819,48.790503,-123.71282,NORTH COWICHAN - DUNCAN RCMP,North Cowichan,0,4,5,0,6,4,14,53,4,0,36,25,38,46,167
1153,White Ridge Provincial Park,0,4,1280,Nature & Parks,"Gold River, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1808535-d6438502-Reviews-White_Ridge_Provincial_Park-Gold_River_Vancouver_Island_British_Columbia.html,0,0,80,49.769722,-126.05608,528176.0039,995959.0151,Gold River,5924025,1360,755,705,50,10,80,26496,33895,566,Campbell River Airport,49.950833,-125.27083,Campbell River,99436,1 hour 35 mins,95,812172,Gold River Visitor Centre,49.779183,-126.05198,Gold River,1601,3 mins,3,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,139797,1 hour 58 mins,118,1579,2 mins,2,1066,49.780824,-126.04735,STN 155 GOLD RIVER,Gold River,1550,2 mins,2,1210,49.780603,-126.04756,GOLD RIVER VOL FIRE DEPT,Gold River,1770,3 mins,3,1786,49.780563,-126.04751,GOLD RIVER RCMP,Gold River,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5
1154,Golden and District Museum,0,4,3987,"Speciality Museums, Museums","Golden, British Columbia V0A 1H0, ",https://www.tripadvisor.ca/Attraction_Review-g181785-d6480324-Reviews-Golden_and_District_Museum-Golden_Kootenay_Rockies_British_Columbia.html,6,5,177,51.314552,-116.977554,740099.2912,1626521.105,Golden,5939007,3775,2255,2090,170,15,40,24514,30866,627,Salmon Arm Airport,50.682777,-119.22861,Salmon Arm,249406,2 hours 49 mins,169,812281,Invermere Visitor Centre,51.293016,-116.96678,Golden,3090,6 mins,6,34,Revelstoke,50.9924735,-118.1921284,Revelstoke,8213,33,144981,1 hour 35 mins,95,3040,5 mins,5,1067,51.297979,-116.96811,STN 413 GOLDEN,Golden,2823,5 mins,5,1345,51.293996,-116.96174,GOLDEN FIRE DEPT,Golden,332,1 min,1,1787,51.317275,-116.97784,GOLDEN RCMP,Golden,0,0,0,0,3,0,7,2,6,0,1,7,15,38,60
1155,Gowlland Tod Provincial Park,0,4,286,"State Parks, Nature & Parks","Highlands, British Columbia V9E 2A3, ",https://www.tripadvisor.ca/Attraction_Review-g4268110-d156393-Reviews-Gowlland_Tod_Provincial_Park-Highlands_Victoria_Capital_Regional_District_Vancouv.html,57,4.5,591,48.54622,-123.49423,395532.6454,1185331.991,Highlands,5917049,1905,1120,1100,15,0,10,37043,41818,464,Victoria International Airport,48.646944,-123.42583,North Saanich,21557,25 mins,25,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,21459,30 mins,30,123,Colwood,48.4271392,-123.4854825,Colwood,14655,26,16201,26 mins,26,11700,14 mins,14,1196,48.495866,-123.38845,ANNEX 121 ROYAL OAK,Saanich,4286,6 mins,6,1553,48.570999,-123.48044,WILLIS POINT VOL FIRE DEPT,Capital H (Part 1),12700,20 mins,20,1865,48.447979,-123.49497,WESTSHORE RCMP,Langford,0,5,9,1,28,14,41,98,33,22,61,77,158,152,240
1156,Prudhomme Lake Provincial Park,0,4,926,Nature & Parks,"Port Edward, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1006519-d7343411-Reviews-Prudhomme_Lake_Provincial_Park-Port_Edward_British_Columbia.html,2,4.5,5,54.23328,-130.09918,1033362.965,733578.2493,Port Edward,5947007,520,275,220,55,0,10,23429,31822,693,Prince Rupert Airport,54.286111,-130.44472,Skeena-Queen Charlotte A,35299,1 hour 2 mins,62,812296,Prince Rupert Visitor Centre,54.313018,-130.32601,Prince Rupert,24203,19 mins,19,20,Prince Rupert,54.27185405,-130.2717334,Prince Rupert,17027,24,14374,10 mins,10,24844,20 mins,20,1132,54.305563,-130.33158,STN 684 PRINCE RUPERT,Prince Rupert,15737,12 mins,12,1456,54.22479,-130.29172,PORT EDWARD VOL FIRE DEPT,Port Edward,23454,17 mins,17,1833,54.313239,-130.31824,PRINCE RUPERT RCMP,Prince Rupert,0,1,0,1,1,1,0,3,2,1,1,16,19,20,23
1157,Nikkei National Museum & Cultural Centre,2,5,3967,"History Museums, Museums","Burnaby, British Columbia V5E 4M7, ",https://www.tripadvisor.ca/Attraction_Review-g181793-d7891809-Reviews-Nikkei_National_Museum_Cultural_Centre-Burnaby_British_Columbia.html,9,4,1293,49.21749,-122.96506,471537.4165,1221253.899,Burnaby,5915025,200855,109545,102125,7420,1505,160,22319,30829,507,Vancouver International Airport,49.194722,-123.18388,Richmond,18499,29 mins,29,812202,New Westminster Visitor Centre,49.200459,-122.91014,New Westminster,5095,13 mins,13,60,New Westminster,49.20265469,-122.9140896,New Westminster,54904,13,4811,12 mins,12,1724,3 mins,3,1112,49.224097,-122.98557,STN 260 NEW WESTMINSTER-12TH,Burnaby,1802,5 mins,5,1672,49.222407,-122.94323,BURNABY FIRE DEPT STATION 2,Burnaby,3975,10 mins,10,1908,49.213391,-122.92101,NEW WESTMINSTER COMMUNITY POLICING,New Westminster,2,14,19,9,152,65,123,223,138,47,82,88,224,267,391
1158,GBS Glass Blowing,0,4,1546,"Points of Interest & Landmarks, Sights & Landmarks","Malahat, British Columbia V0R 2L0, ",https://www.tripadvisor.ca/Attraction_Review-g183802-d4889548-Reviews-GBS_Glass_Blowing-Malahat_Vancouver_Island_British_Columbia.html,11,4.5,576,48.56295,-123.57954,397168.833,1178961.313,Cowichan Valley A,5919043,4070,2025,1965,60,40,0,30446,37837,464,Victoria International Airport,48.646944,-123.42583,North Saanich,47186,41 mins,41,814487,Mill Bay Tourist/Visitor Info Booth,48.652006,-123.55853,Cowichan Valley A,14130,12 mins,12,123,Colwood,48.4271392,-123.4854825,Colwood,14655,26,21822,23 mins,23,14765,11 mins,11,1103,48.657686,-123.56741,STN 137 MILL BAY,Cowichan Valley A,2849,4 mins,4,1396,48.574718,-123.56712,MALAHAT VOL FIRE DEPT,Cowichan Valley A,12835,14 mins,14,1846,48.654734,-123.62351,SHAWNIGAN LAKE RCMP,Cowichan Valley B,0,6,9,1,30,16,43,106,33,22,65,77,158,152,251
1159,China Beach,0,4,440,"Beaches, Nature & Parks, Outdoor Activities","British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154944-d8555811-Reviews-China_Beach-Vancouver_Island_British_Columbia.html,16,5,142,49.678207,-125.01807,518490.8295,1070894.298,Courtenay,5926010,21780,10690,9915,775,105,170,22662,29677,553,CFB Comox (Comox Airport),49.710833,-124.88666,Comox,13627,23 mins,23,823223,Comox Valley Visitor Centre,49.63456,-125.00369,Cumberland,6043,10 mins,10,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,2459,7 mins,7,2952,8 mins,8,1042,49.682782,-124.98744,STN 150 COURTENAY,Courtenay,2005,6 mins,6,1207,49.686045,-125.00082,COURTENAY FIRE DEPT,Courtenay,3933,11 mins,11,1770,49.699583,-124.98721,COURTENAY RCMP,Courtenay,0,1,2,1,5,0,8,12,5,2,11,22,31,44,75
1160,Artevo Gallery,2,5,4147,"Art Galleries, Shopping, Museums","Victoria, British Columbia V8W 3V2, ",https://www.tripadvisor.ca/Attraction_Review-g154945-d1526740-Reviews-Artevo_Gallery-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_Briti.html,0,0,1973,48.42498,-123.367325,382428.0795,1195214.171,Victoria,5917034,75390,45270,42960,2310,1290,115,24651,32322,464,Victoria International Airport,48.646944,-123.42583,North Saanich,26634,33 mins,33,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,435,2 mins,2,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,1084,5 mins,5,1054,4 mins,4,1179,48.420922,-123.37429,ANNEX 118 VICTORIA-FAIRFIELD,Victoria,1032,4 mins,4,1576,48.41765,-123.3672,VICTORIA FIRE DEPT HALL 2,Victoria,1292,5 mins,5,1941,48.416107,-123.37389,JAMES BAY COMMUNITY POLICING,Victoria,0,5,8,1,25,14,39,93,32,22,39,69,148,142,195
1161,Kettle Valley Railway Trail,2,5,190,"Dams, Nature & Parks","Okanagan Falls, British Columbia T0L1R0, ",https://www.tripadvisor.ca/Attraction_Review-g947970-d1066513-Reviews-Kettle_Valley_Railway_Trail-Okanagan_Falls_Okanagan_Valley_British_Columbia.html,117,4.5,123,49.349346,-119.58098,502593.05,1466136.401,Okanagan-Similkameen D,5907047,5915,3030,2895,135,40,20,23567,31201,544,Penticton Regional Airport,49.4625,-119.60222,Penticton,14305,12 mins,12,812249,Penticton & Wine Country Visitor Centre,49.493577,-119.60336,Penticton,18733,17 mins,17,40,Penticton,49.49326339,-119.5859191,Penticton,32542,17,18730,18 mins,18,17080,14 mins,14,1120,49.482215,-119.5936,STN 329 PENTICTON,Penticton,1321,3 mins,3,1437,49.342696,-119.57209,OKANAGAN FALLS VOL FIRE DEPT,Okanagan-Similkameen D,18152,17 mins,16,1826,49.487042,-119.5866,PENTICTON COMMUNITY POLICING,Penticton,0,2,1,1,4,1,15,26,8,2,132,5,24,34,159
1162,Gods Pocket Marine Provincial Park,3,3,605,Nature & Parks,"Port Hardy, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g184839-d3596887-Reviews-Gods_Pocket_Marine_Provincial_Park-Port_Hardy_Vancouver_Island_British_Columbia.html,11,4.5,56,50.7195,-127.46892,634925.8315,896353.4794,Port Hardy,5943023,3810,2240,1975,270,15,200,25221,32601,613,Port Hardy Airport,50.680555,-127.36666,Port Hardy,10011,10 mins,10,812177,Port Hardy Visitor Centre,50.723394,-127.49224,Port Hardy,8331,8 mins,8,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,282335,2 hours 59 mins,179,7750,7 mins,7,1125,50.720037,-127.50318,STN 126 PORT HARDY,Port Hardy,7952,7 mins,7,1213,50.689691,-127.40612,PORT HARDY FIRE DEPT HALL 2,Port Hardy,7994,8 mins,8,1829,50.724526,-127.49661,PORT HARDY RCMP,Port Hardy,0,1,0,0,1,0,0,0,0,2,0,4,7,8,35
1163,Qualicum Beach Community Park,0,4,415,"Nature & Wildlife Areas, Nature & Parks","Qualicum Beach, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g182150-d2477132-Reviews-Qualicum_Beach_Community_Park-Qualicum_Beach_Vancouver_Island_British_Columbia.html,31,4.5,197,49.350624,-124.44319,482831.9228,1113195.249,Qualicum Beach,5921023,8380,2825,2680,140,55,40,24716,31834,530,Qualicum Beach Airport,49.337222,-124.39388,Qualicum Beach,5123,7 mins,7,812179,Qualicum Beach Visitor Centre,49.355971,-124.44004,Qualicum Beach,791,1 min,1,66,Parksville,49.32015947,-124.3068176,Parksville,10613,31,14670,14 mins,14,1650,4 mins,4,1134,49.343724,-124.44963,STN 138 QUALICUM BEACH,Qualicum Beach,1458,3 mins,3,1224,49.338902,-124.44092,QUALICUM BEACH FIRE DEPT,Qualicum Beach,517,1 min,1,1949,49.348002,-124.44405,QUALICUM BEACH COMMUNITY POLICING,Qualicum Beach,0,2,2,0,2,0,16,29,3,1,12,9,15,29,94
1164,Johns Family Nature Conservancy Regional Park,2,5,949,Nature & Parks,"Kelowna, British Columbia V1W 4L6, ",https://www.tripadvisor.ca/Attraction_Review-g154933-d6902187-Reviews-Johns_Family_Nature_Conservancy_Regional_Park-Kelowna_Okanagan_Valley_British_Col.html,2,4.5,1091,49.80201,-119.49783,553251.5115,1467542.397,Kelowna,5935010,105170,57300,54525,2770,595,215,25134,33647,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,21631,29 mins,29,812196,Kelowna Visitor Centre,49.88366,-119.49189,Kelowna,10908,15 mins,15,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,11099,15 mins,15,10235,18 mins,18,1082,49.885162,-119.49758,STN 340 KELOWNA-LAWRENCE,Kelowna,2740,4 mins,4,1687,49.822576,-119.48744,KELOWNA FIRE DEPT HALL 4,Kelowna,4400,6 mins,6,1964,49.838249,-119.48765,KELOWNA COMMUNITY POLICING,Kelowna,0,4,7,2,19,6,24,39,27,9,136,41,105,104,211
1165,Lori Brown Photography,2,5,1137,"Beaches, Nature & Parks, Outdoor Activities","Kelowna, British Columbia V1Y 5B1, ",https://www.tripadvisor.ca/Attraction_Review-g154933-d12501373-Reviews-Lori_Brown_Photography-Kelowna_Okanagan_Valley_British_Columbia.html,0,0,1125,49.86651,-119.48607,560471.5583,1467726.559,Kelowna,5935010,105170,57300,54525,2770,595,215,25134,33647,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,16278,23 mins,23,812196,Kelowna Visitor Centre,49.88366,-119.49189,Kelowna,2307,4 mins,4,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,5525,9 mins,9,2948,7 mins,7,1082,49.885162,-119.49758,STN 340 KELOWNA-LAWRENCE,Kelowna,2573,6 mins,6,1685,49.885007,-119.49687,KELOWNA FIRE DEPT HALL 2,Kelowna,1854,3 mins,3,2028,49.861626,-119.4678,KLO COMMUNITY POLICING,Kelowna,0,3,7,2,18,6,22,32,27,8,97,41,104,104,171
1166,Forest and Fire Nature Trail,0,4,1082,"Hiking Trails, Nature & Parks, Outdoor Activities","Glacier National Park of Canada, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1761681-d12206775-Reviews-Forest_and_Fire_Nature_Trail-Glacier_National_Park_of_Canada_Kootenay_Rockies_B.html,1,3,65,51.262985,-117.54429,729536.6399,1588044.991,Columbia-Shuswap A,5939011,3095,1910,1855,55,15,40,23552,30621,627,Salmon Arm Airport,50.682777,-119.22861,Salmon Arm,164548,1 hour 53 mins,113,812289,Revelstoke Visitor Centre,51.000163,-118.19542,Revelstoke,60717,40 mins,40,34,Revelstoke,50.9924735,-118.1921284,Revelstoke,8213,33,60122,40 mins,40,59389,39 mins,39,1139,50.993814,-118.18268,STN 336 REVELSTOKE,Revelstoke,7266,7 mins,7,1474,51.301814,-117.51832,ROGERS PASS FIRE DEPT,Columbia-Shuswap A,60694,41 mins,41,1838,50.998428,-118.19894,REVELSTOKE RCMP,Revelstoke,0,0,0,0,0,0,1,0,0,1,0,0,4,7,3
1167,Beasley Park,2,5,335,Nature & Parks,"Lake Country, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1172397-d2256632-Reviews-Beasley_Park-Lake_Country_Okanagan_Valley_British_Columbia.html,36,4.5,111,50.0493,-119.40303,581265.8833,1471780.192,Lake Country,5935016,9545,5520,5250,275,45,20,25477,32916,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,10912,11 mins,11,812196,Kelowna Visitor Centre,49.88366,-119.49189,Kelowna,22481,26 mins,26,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,21110,23 mins,23,1803,2 mins,2,1189,50.033543,-119.40306,STN 343 LAKE COUNTRY-WINFIELD,Lake Country,3474,5 mins,5,1557,50.03609,-119.41103,WINFIELD VOL FIRE DEPT,Lake Country,2402,4 mins,4,1961,50.02917,-119.40314,LAKE COUNTRY RCMP,Lake Country,0,2,8,3,24,7,27,39,30,8,93,45,109,111,168
1168,Rendezvous Island South Provincial Park,0,4,1221,Nature & Parks,"Surge Narrows, British Columbia V0P 1W0, ",https://www.tripadvisor.ca/Attraction_Review-g2163374-d7281832-Reviews-Rendezvous_Island_South_Provincial_Park-Surge_Narrows_Read_Island_British_Columb.html,0,0,15,50.19244,-125.17761,575532.6843,1058711.857,Strathcona C,5924054,,,,,,,,,566,Campbell River Airport,49.950833,-125.27083,Campbell River,41218,1 hour 15 mins,75,811941,Campbell River Visitor Centre,50.027318,-125.24536,Campbell River,28673,1 hour 3 mins,63,73,Courtenay,49.69162064,-124.9981923,Courtenay,19803,21,81579,1 hour 39 mins,99,25725,33 mins,33,1136,50.052802,-125.19021,STN 170 QUADRA ISLAND,Strathcona C,24104,31 mins,31,1234,50.045529,-125.21435,QUADRA ISLAND FIRE DEPT,Strathcona C,23678,31 mins,31,1835,50.046567,-125.20975,QUADRA ISLAND RCMP,Strathcona C,0,1,0,0,1,2,1,4,3,2,1,35,42,50,47
1169,Lytton Museum,0,4,4085,"History Museums, Museums","Lytton, British Columbia V0K 1Z0, ",https://www.tripadvisor.ca/Attraction_Review-g666393-d10802271-Reviews-Lytton_Museum-Lytton_British_Columbia.html,2,4,29,50.23129,-121.58243,589342.8783,1314910.92,Lytton,5933015,250,185,180,0,10,0,0,0,623,Kamloops Airport,50.7025,-120.44861,Kamloops,177501,2 hours 6 mins,126,812200,Lytton Visitor Centre,50.231408,-121.58251,Lytton,11,1 min,0,6,Merritt,50.12412142,-120.8293313,Thompson-Nicola M,8075,34,97197,1 hour 19 mins,79,228,1 min,1,1093,50.232443,-121.58076,STN 321 LYTTON,Lytton,98,1 min,0,1393,50.232202,-121.58235,LYTTON VOL FIRE DEPT,Lytton,300,1 min,1,1807,50.233073,-121.58054,LYTTON RCMP,Lytton,0,2,0,0,0,0,0,2,0,0,1,1,2,2,4
1170,Doukhobor Discovery Centre,0,4,3805,"Speciality Museums, Museums","Castlegar, British Columbia V1N 4M5, ",https://www.tripadvisor.ca/Attraction_Review-g181791-d3530284-Reviews-Doukhobor_Discovery_Centre-Castlegar_Kootenay_Rockies_British_Columbia.html,45,4.5,124,49.296604,-117.64022,511477.0531,1607181.781,Castlegar,5903045,7060,3675,3385,290,50,25,25384,33974,541,Castlegar/West Kootenay Regional Airport,49.296388,-117.6325,Castlegar,1542,6 mins,6,812273,Castlegar Visitor Centre,49.295706,-117.65168,Castlegar,3910,6 mins,6,43,Castlegar,49.30629376,-117.6575424,Castlegar,7427,36,4577,8 mins,8,4220,6 mins,6,1035,49.292944,-117.64986,STN 402 CASTLEGAR,Castlegar,3295,5 mins,5,1440,49.285741,-117.62624,OOTISCHENIA VOL FIRE DEPT,Central Kootenay J,8006,9 mins,9,1762,49.325334,-117.66619,CASTLEGAR RCMP,Castlegar,0,1,2,0,0,2,5,19,0,0,3,4,10,20,35
1171,Gellatly Heritage Park,2,5,487,Nature & Parks,"West Kelowna, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1915410-d8669235-Reviews-Gellatly_Heritage_Park-West_Kelowna_Okanagan_Valley_British_Columbia.html,14,4.5,273,49.819344,-119.63796,554255.7392,1457320.713,West Kelowna,5935029,,,,,,,,,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,31930,38 mins,38,812262,West Kelowna Visitor Centre,49.828703,-119.62547,West Kelowna,4343,6 mins,6,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,21720,26 mins,26,3762,4 mins,4,1186,49.829805,-119.63488,STN 339 WEST KELOWNA,West Kelowna,4414,5 mins,5,1547,49.831235,-119.62485,WEST KELOWNA FIRE RESCUE STATION 31,West Kelowna,4598,6 mins,6,1962,49.829101,-119.62394,WEST KELOWNA,West Kelowna,0,4,7,2,19,6,24,39,27,9,125,41,104,104,197
